,Sentence
382,"சென்னைய008 கஸ்தூரிபா காந்தி 01085 01086 01087 00909ய007 125-ம் 00104 00323 - சேப்பாக்கம் 00053ப் 01017 00807 00193 01088்டு 00213ய்0008 00098ப்பட்ட 01089ங்012007 01090 00323 - 01091 01092 0049 01026 01093 01013 , 01094ப் 01095த் 01096த் 00036ங்012000 00619 00240ி 00153006 00008 கருணாநிதி 00228ியத்0109 : ."
383,சேப்பாக்கம் 00053ப் 01017 008070155 00287006 00193 01088்டு 00213ய்0008 01089ங்012 00098ப்00880086 .
384,00287னுடைய 00334ப் 01097த்த்0008 00098ப்படுவது 00943ல .
385,0074 001930010154 01098ப்00880005 00213ய்0008 00098ப்0090 00126014006 .
386,00182வ008 01099008 00193 01088்டு 00213ய000 00044ப் 00352012001 01100ிக் 00021ளல்0146 0073 00099ய000 00028 00029 00466 00204 00807012001 00129ி 00126019006 .
387,"01106000ப் 00591006 , 00053ப் 01017 00193 00213ய000ய்0138 01101 00170 00352012001 01098க் 00283028006 0114 00176 00287 0033 00140019006 ."
388,"00426 , 00053ப் 01017ய008 01106000 00621ி006 , 01106000 00053ப் 01017 008070120138 00208ற்றுக் 00021ண்039 , 0116 00005ய008 01102 00053ப் 01017 00807 00193 01088்டு001 01098ப்00880115 00103ய000 00512 0106 00170 01103த்து0010134 01104006 00126014032 ."
389,"00182வ008 00028 00029ினுடைய 01097த்த000 00574கள் 00204 001930120010154 01098கின்ற 01097 00466 01105 00204 001930120010134 01104க்கப் 00007கிற 00112ய்000701380139 , 00053ப் 01017த் 00193012001 01098ப் 00007கிற 01097த்த000 - 0078 00193 01088்டுக்காகச் 01104க்க 00060ம் 0103 00292 00823 00606த்தது 00462த்த008 0130 ."
390,தமிழ்நாடு 00029 0130 01106000ச் 00031021006 .
391,00292ில் 01106 25 00731ாக 01098ப்0082 .
392,"01107 , 0052 01108ாக 0078 00103 00203ப்0090 00407 00084 00773யே 75 00731 00092001 00408க்கப்00880080 ."
393,"0078 00103ய000ப் 01100ிக் 00021ண்039 , நம்முடைய 00053ப் 01017 00807012 00193ப் 00352012000 01109ிக் 00021ண்022 00126014036 ."
394,00909012001 01089ங்012 00098ின005 01110 01111ில்லை .
395,00573ே 01112 01113012 0103 00768 00098ாட்டின005 01110 01114ில்லை .
396,"0068 01089ங்012008 01430037 00303கிற 01113012 , 0116 01113012001 00298யாக 00126க்கிற 01084012 00085்ட 00251 01115 01116012 01151ும் ஏத்0158 00084 01117 01109014032 0103 00100ல028மல் 0066 00352 நம்ம000 00074040 003760190004 ."
397,0062 00352ய000 01081 01082 01118ய010 நாம் 00038031032 0114 0116 01119000ப் 00059்று 00054000க் 01120 00060ம் - 00054ு001ப் 00303 00060ம் .
398,00029001 01121 00060ாம் : .
399,"00029001 01122க்க 00060ம் 0156 01113012 , 01084012 00085்ட 00711ப் 00912012 யார000யும் 00164ட்கவ்0101 ."
400,"01123 , 01124 01125 00054ு001 01126001 00809 0030 , 01151ும் 00701 00060ம் ."
401,"00089த் 00067012000ய்01380148 , 00711த் 00067 0130 01127த்த010 00374 00021ண்ட 00067யா025027 ."
402,"01128 , 01151ும் 01127த்த010 , 01081 01082த்த010 00711த் 00067ப் 00352ய000 01109 00060ம் 0103 00164044க் 00021014013 0156 00008 கருணாநிதி 00228007029 ."
403,"0131 00981ய008 , 00028 சென்னை 01129த் 00193 எம்.பி.ய்0138 , 00028 0021401380155 தயாநிதி மாறன் , 00086 00214012 00085்ட 011300138 00324040 00021ண்ட017034 ."
404,"தன001 01131 00112 00110 00610028 00041்ட0050138 , 00029 00981ய008 00366ற்க 0007401900830154 00008 கருணாநிதி 00178021029 ."
405,சென்னைய008 00619 00198்ற கஸ்தூரிபா காந்தி 01132 01087 00909ய007 125-ம் 00104 00323வ008 00228ம் 0125 00574 00512000க் 00284007029 .
406,00574 00228ியத்0109 : .
407,"00909001 01041 01034ந்தத்0138 , 01133 01134ய்0138 00503யில்லை ."
408,"01131 00112 00503யில்லாத 00539த்த005 , 00909 00323வு001 00074ரவ்0101 ."
409,00778ுடைய 01134 00503யாக 00126க்க 00060மென்ற 00539த்து0010154 00027க்கப்00880024 00909ய007 01090 00323 0016 00324040 00021ண்0220058 .
410,"00187 , 0074 00193ய007 ( சேப்பாக்கம் ) 00053ப் 01017 00807 0114 00163ய008 00981ய008 00324040 00021வது 00287006 01117 ."
411,"00053ப் 01017 00807 0114 00163ய008 00008 0073 00112ய008 0068 01117ய000 00038 01134 00110 00610028 00041்ட0050138 , 01135ே 00074019 00126014013 0103 00008 கருணாநிதி 00178021029 ."
412,விஜயதசமிய000 00682 00462 00054ு001 அதிமுக 00061 ஜெயலலிதா 00472 001780210040 .
413,"நவராத்திரி 00323வ்0138 , 01106ற்கு 01136 00153த்தாற் 0153 விஜயதசமி 00323வ்0138 தமிழ்நாடு 01015 01137 00033க் 00681ப் 00007014006 ."
414,01138 0055 ஒன்பது .
415,"நவராத்திரி 00172ட்012008 00292 மூன்று 00172ட்012 00725 00060ி துர்கா தேவிய000ய்0138 , 00382 மூன்று 00172ட்012 01139 00060ி 01140ய000ய்0138 , 00959 மூன்று 00172ட்012 00149 00060ி சரஸ்வதி தேவிய000ய்0138 00054 01141014036 ."
416,மகிஷாசுரன000 தேவியானவள் ஒன்பது 00172ட்012 01142்டு 00725 01143 01144ிய 001720160 விஜயதசமி .
417,"01145 01146012001 00329 00474க்கும் 0098601540138 , 01147ிற்0010138 , 00848ு0010138 01148க்கும் 0098601540138 0131 00172ட்012 00027040 00126035017 ."
418,00725த் 01149 விஜயதசமி 0102 00240ம் 00089 01150ங்0120138 00725ய008 00313ய027 0065 01151006 00611 .
419,"0131 01152008 , 01151ும் 01153 01154012000ய்0138 , 01155ங்012000ய்0138 00059்று 01156ய் 0107 00073வதற்001 00208ற்ற 00005ய008 00462த்த008 00515ில் 01157 01158 00054 00572 00006006க் 00021ள 00060ம் 0103 00178006 , 00462 00054 01151ு001ம் 01159 விஜயதசமி 01160012000 00178006க் 00021வத்0154 ஜெயலலிதா தன006 00014ய008 00185்0220040 ."
420,தி.மு.க. 00029007 01161 00809 00222012000க் 00793006 01162க் 00565012 0019 சென்னைய008 00916 21-ம் 00360 00842 00198ம் 0156 00843012 00013்0220115 01163ய008 00178க்கப்00880080 .
421,00182 கம்யூனிஸ்ட் 0049 மார்க்சிஸ்ட் 00565ய007 00086 01164கள் 00200 சென்னைய008 00619 00198்ற006 .
422,"00200இக்கூட்டத்த008 மார்க்சிஸ்ட் 00565 00028க் 00206 00807 என். வரதராஜன் , 00086 01165 00807012 கே. பாலகிருஷ்ணன் , ப. செல்வசிங் , 00182 கம்யூனிஸட் 00565 00332 00369்டுக் 00206த் 00180 ஆர். நல்லகண்ணு , 00086 00384ச் 00045 சி. மகேந்திரன் , 00086 01165 00807012 ஏ.எம். கோபு , எஸ்.எஸ். தியாகராஜன் , கே. சுப்பராயன் 00047 00324040 00021ண்ட017034 ."
423,"என்.எல்.சி. 00835 01166த் 011610120138 , ஸ்ரீபெரும்புதூர் ஃபாக்ஸ்கான் 00835 011610120138 தங்கள் 000620120010154 01072த்த008 00273்0220047 ."
424,"011610120107 01167 00165ி , 01168 01169 01170வ்0101 ."
425,"00530இப்பிரச்னைய008 தி.மு.க. 00485ிலான தொ.மு.ச. 00446த்த்0107 00474040 , 00849 00364ங்012 01161ளு001 01019 00373035017 ."
426,00530001 01169 01171 தி.மு.க. 00029 0129 00222ய்0138 00006க்கவ்0101 .
427,01172்டு 00848 00835ங்012008 00446 00056012 00595க்கப் 00007035017 .
428,01161012 01173ப் 00007கின்றனர் .
429,00512ற்கு 00462 00029்0138 01174ய்0154 00010ள006 .
430,"00187 , டாஸ்மாக் 00912012 , 01175 00649012 00141ியபோது 00574கள000 01098 00462 00029 00519 00067ய000 01176020006 ."
431,"00304 , 00462 00029007 01177 00222012000க் 00793006 சென்னைய008 00916 21-ம் 00360 00126 கம்யூனிஸ்ட் 00565012 0019 00842 00198ம் ."
432,"00182 கம்யூனிஸ்ட் 00086ச் 00045 தா. பாண்டியன் , மார்க்சிஸ்ட் 00565 00086ச் 00045 ஜி. ராமகிருஷ்ணன் 00047 00197ய008 0131 00842 00198ம் 0103 0116 00014ய008 00178க்கப்00880080 ."
433,00146 00339 ஒபாமாவ007 00182ப் 00660 01178 01179000 00528ிய்0080 .
434,00126 00015012 01180ய0080155 00525008 ஒபாமாவ007 00660 00035 01181ாக 00126025027 0103 00146வு0010155 00182 00612 மீரா சங்கர் 00178021029 .
435,"ஜார்ஜ் வாஷிங்டன் 01182க் 00815 00714012 0123 00228ிய 00574 , ஒபாமாவ007 00182ப் 00660 00126 00015012 01180ய0080155 00525000 00187 01183வத்0149 , 00089த் 000670120080138 00486ந்து 00373வதற்க்0155 00518012000ப் 01184ிய்0080 ."
436,00126 00015012007 01154 01185 00026 00092008 01186ம் 00005ய008 ஒபாமாவ007 00182ப் 00660 00027ய027 .
437,00126 00015012008 00560ம் 00572யான 00151 00559 00512ற்கு 01187ய்0154 00010ள006 .
438,"00044வாக 00126 000150120138 01188யும் 01189ங்012008 00706 00707வத்0149 , 00025ாக 01190க்கும் 00026 00656 0049 01191012000 00474ந்து 01192ப்பது 00170138 01193012 01194க்க 00007்பட027 ."
439,01195த்த008 00474ந்து 00373ம் 00067012000க் 01196040 01197 01193012000 01194க்கவ்0138 0066 00660 01198ாக 00027ய027 .
440,ஆப்கானிஸ்தான் 0049 பாகிஸ்தான்0025 அமெரிக்காவ்0138 00182வ்0138 00241ந்து 00020012000ப் 01199ிக் 00021ண்039 00018014006 .
441,"005120113 , 01200 00949த்த008 00017ம் 00421012 01201த்த 012020138 00390 00460ளப் 00007014006 ."
442,00618 00159 01201த்த 01167 00165 00030 00031யப்00880080 .
443,"00512ன் 0097 ஆசியான் 00015012 0100 00150 0049 00169 012030120025 00305 01199வ்0138 , 01106000 01183வது 00260138 01204 00007்பட027 ."
444,00126 000150138 00486ந்து 00952வ000 00034வது 00260138 01205ாக 00228 00007்பட027 .
445,00126 00015012 0045 0053 01189ங்012 0038 00026 01206த்த000 01207க்கும் 00352012008 00486ந்து 00373வது0025 01204ப்பட027 .
446,"01208 00387 00169 , 00408006 00018ம் 00756 00281 , 00423ங்012000 00868ப்பது 00260138 00126 000150120138 00966025027 ."
447,"00182 , 00146 01180ய0080155 00525007 00035 012090154 01210 00352012008 01211 01212ய000 01100வதற்க்0155 01166 01213ிய்0080 ."
448,00126 00015012 01180ய0080155 00205 00509ய008 00431 01214த் 00067ய0080155 01121 0030 00126019006 .
449,01214 01166 01215் 01216 01217ய0080138 00132 00126 000150120138 01218 00273ம் 00518 009480190080 .
450,00146 00835ங்0120107 00486040 01211 00130 00002ங்012001த் 00958ய்0155 01211 01219012000த் 01220ப்பதற்க்0155 01080 00978ய0080155 01167 00515ில் 00240ம் .
451,01046 00182 01221 00052008 அமெரிக்காவ்01070155 00205 00035 01181த்த000 00017த்த 00579ம் .
452,"01222 , 01223 00112 01224 , 01225 00052 , 00001 01226 01227ற்ற008 00486ந்து 00373வதற்க்0155 00518 004080210080 ."
453,00187 00216 00015012 00169க் 00937008 00942 00807 00110த்த000ப் 00160க்க 00182வு001 00146 00579ம் .
454,00512ற்காக 00169க் 00937 00115 00222ய000 00146 00208ற்025027 0156 00395வத்0154 மீரா சங்கர் 00284007029 .
455,2008-ம் 00104 00017்ட 00026 00150 00111ய000த் 00241040 00026 00213 000700120155 00142 01228 0049 01229ச் 01230 01231 ( ஐஎமெப் ) 01227ற்ற008 00213ச் 00963 00031ய 00060ம் 0114 00182வ007 00062 00208ற்கப்ப0220080 .
456,00512 00011ான 00602012000ய்0138 00182 00129ி 00018014006 .
457,100 007730010138 01232 00054 00103 00021ண்ட 00182வ008 00150 00019 00017்0220080 .
458,00026 00092008 தம0010115 00465000 01233வத008 அமெரிக்காவ்0107 00486ந்து 00303 00182 012340154 00010ள006 00287ற029 மீரா சங்கர் .
459,பாஜகவ்0107 00083 00153006க் 00021ண்039 012350025 பிகார் 00008 நிதீஷ் குமார் 01236 00228 00510ய027 0103 00176 01237ி 00010ள029 காங்கிரஸ் 00044ச் 00045 ராகுல் காந்தி .
460,00574006 01235 01238001 01239ந்தத்0154 00100லை 01050138 00574 00284007029 .
461,பிகார் 00826த் 00723000ய்0089 கோதா 0049 சிக்தி 00033ிய 00110ங்012008 00619 00198்ற 00723 00727த்த008 00228ம் 0125 00574 00694 00284007029 .
462,பாஜகவ்0107 00083 001530210000 .
463,00084 00180 ( மோடி ) 01135 00074040 00727 00031006 00041க் 00283028006 0103 01240014018 .
464,00295 01236 உங்கள் 01235ய000 00395வது 0103 00574 00176 01237007029 .
465,பிகார008 01241 00151ு001 01242 00153க்க காங்கிரஸ் 00175014006 .
466,"00082ம் 00216 00217 - பாஜக 00083ய்00950138 00503 0070 00215 00217 - லோக் ஜனசக்தி 00083ய்00950138 00503 இவை இரண்ட்01380160 00412 , 01243 00151000 01244ி 00151 01245 00376ய 00903035017 ."
467,"00042 நாங்கள் ( காங்கிரஸ் ) 00412 , 01243 00151000 00642யாக 00137014032 ."
468,நாங்கள் 01206 01246ய000ய்0138 01247த்த000ய்0138 01248ான 00019ய000ய்0138 01244ி 00727 00031014032 .
469,"01249 , 01250 , 01251 , 01252 , 01253 , கிறிஸ்தவர் 0156 01254ு00101270138 00701ம் 00565 காங்கிரஸ் ."
470,இவர்0120010155 00565 0103 காங்கிரசு001 01255 01256 00510ய028006 00287ற029 ராகுல் .
471,01257 0130 பிகார008 00089த் 001930120080138 01258ப் 00946014032 .
472,01258ப் 00946வது 00404த்த008 01259 0103 00287001த் 00166ய027 .
473,00042 00241ந்து 00141031032 .
474,000190010154 00141031032 .
475,00567012 00955 00059ம் 00029000 00027க்க 00241ந்து 00141031032 00287ற029 00574 .
476,00332 01260 00855 00518 00572த் 00036 0106 00143 00028 00036ங்012 பிகார008 01261 005390154 00452ாக 00814ப் 00007வ்0101 0103 00574 00432007029 .
477,00302 00028 00036ங்0120010154 1 00731 00773 பிகாரு001 00288க்கப் 00007014006 .
478,"00042 01262ாக 0131 00213 01249012000 , 01263000 00399ய் 00318ன்றடையவ்0101 00287ற029 00574 ."
479,00332 00792க் 00083 00499ய000 01264ம் 0125 காங்கிரஸ் 00565 பிகார் 00086 00019001 0063 000310210080 .
480,பிகார்0008 01265 00567012 00855 00351ி 00397 00086ங்012001 01266040 00018035ன034 .
481,00028 00036ங்012 00163யாக 00814ப் 00007்ட005 பிகார்0008 00567012 01266வது 00868க்கப் 00007ம் 00287ற029 ராகுல் .
482,உத்தரப் 00718த்த008 காங்கிரஸ் 00565ய000ப் 01267 நான் 00006த்த 00509012001 01111 00145க்காது 0103 00287ன் 0123 01130 00178த்த017034 .
483,00042 நான் 00611ய010 00565ய000 01267வதற்க்0155 00222012000 00460ண்ட013 .
484,01106ற்கு 00209 00826த் 00723008 01268020006 .
485,00565 00725 00059்றத்0149 00499ய008 00010ள 00565001 00084 00080க் 00565யாக 009530190080 .
486,01269ன்று பிகார0080138 காங்கிரஸ் 00725 00059ம் 0114 00611 00287001 00010ள006 .
487,00054 காங்கிரஸ் 00565 0120 01178 00611 001530210047 .
488,பிகார008 00209 20 001040120154 01270ிக் 00883க்கும் 00019ய000 01271 00017த்த காங்கிரஸ் 01153 00509012000 00460ள027 00287ற029 .
489,ஐ.பி.எல். 00070007 00278 00494 லலித் மோடி 00085்ட 7 00545 0120 5 00740012ின் 0118 சென்னை 00915ப் 00418 00538ப் 00735 000310210047 .
490,20 01272 00280 00270012 00165வதற்0250154 00528ப்பட்ட ஐபிஎல் 00070007 004940154 00126ந்021050் லலித் மோடி .
491,இவர் 2009 00889 0091 2010 00890 00403 0152 00471ய008 00126ந்த 0125 00302 00281012 00031தத்0154 00380 00140019017 .
492,"00512 00011ாக 00182 00280 00369்டு 00358த்த007 01273 00045 என். சீனிவாசன் , சென்னை 00915 போலீஸ் 01274 டி. ராஜேந்திரன000 00012 01275 00219006 00380 01054 00892000 00288021029 ."
493,"01106008 , ஐபிஎல் 00280 00270012ின் 0125 , 01276 00056012 00129ியது , 01277ங்012 01278 00654 01098ியது , 00169 00321012 00031தது 01279 லலித் மோடி 00185்ட 00910ு001 00957்0154 00373்டு 00281 00031தத்0154 00185ப்00880022 ."
494,00512ன் 0097 ரூ. 470 00773001 00281 00198்ற் 00010ளத்01270138 0116 00380008 00178க்கப்00880022 .
495,"0131 00538000 , 00915 00028 00423ப் 00740001 00080ி 01274 ராஜேந்திரன் 00012 00662022029 ."
496,"00676 , 00380 01054வ008 00185ப்00880115 00652ங்012 0049 01280ங்012000 00055ய்0110 00021ண்டு , 00182 01281 00053த்த007 409 , 420 , 468 , 477 (0160 ) , 120 ( பி ) 00033ிய 00740012ின் 00648 , லலித் மோடி , வேணு நாயர் , ஆண்ரூ ஜார்ஜியோ , சீமஸ் ஓபிரயன் , ஹரீஷ் கிருஷ்ணமாச்சாரி , அஜய் வர்மா 00047 0120 00915 00028 00423ப் 00740 00418 00538ப் 00735 00031006 00345ய000 00240ிய்0047 ."
497,00028 00423ப் 00740 ஏடிஎஸ்பி வெங்கடேஸ்வரன் 00512ற்கான 00345 00122யாக 00436க்கப்00880040 .
498,00182ப் 00660த்த007 0125 00146 00339 பராக் ஒபாமா பாகிஸ்தானு001 00318ல 00133029 0103 00166ய 000740190080 .
499,00182வு001 00382 00403 00292 00210த்த008 ஒபாமா 00318லவ்0040 00512ற்கான 00169 00321012000 00146 00122012 00031006 00018035ன034 .
500,00574 0081 00360ய008 00182வு001ச் 00318014029 0065 00431 00572 00031யப்படவ்0101 .
501,01282 00574 நவம்பர் 6-ம் 00360 00182 012830146 0103 00325க்கப் 00007014006 .
502,0066 00660த்த007 0125 00574 பாகிஸ்தானு001ச் 00318ல 00133029 0103 00692 00693 00234 00178014006 .
503,"00382 00104 00574 பாகிஸ்தானு001ச் 00318031029 01050138 , பாகிஸ்தான் 00339 ஆசிப் அலி ஜர்தாரிய000 வாஷிங்டன் 00018ம் 0142 00574 005860210040 01050138 0072 00234 00178014006 ."
504,"00533 00278 000080138 , காங்கிரஸ் 00709 0018001380155 கருணாகரன் 01284 005390154 00909ய008 00099க்கப்008800830154 00574006 00624 00461ங்012 00178021017 ."
505,93 01285்0155 கருணாகரனின் 01134 01286ாக 00010ள006 .
506,01284 0049 01287ப் 00530ய005 00574 01288 00018வத்0154 00909 00461ங்012 00178021017 .
507,"00029 ரப்பர் 00815 , 01289 01290க் 00815 0049 01291க் 00815ப் 00912012001 2009-2010ஆம் 00104ிற்0010155 போனஸ் 00129 00008 00662்0220040 ."
508,"00029 ரப்பர் 00815த் 01290த் 01161012 2 00847த்து 886 00545ு0010138 , 01289 01290க் 00815த் 01161012 9 00847த்து 275 00545ு0010138 20 00400 போனஸ் 01292வ்0138 ; 01269வே , 00029 ரப்பர் 00815ப் 00912012 118 00545ு0010138 , 01289 01290ப் 00912012 313 00545ு0010138 , 01291க் 00815ப் 00912012 359 00545ு0010138 20 00400 போனஸ் 00129வ்0138 00008 00662்0220040 ."
509,"00512ன் 005390154 , 00029 ரப்பர் 00815 , 01289 01290க் 00815 , 01291க் 00815 00033ிய மூன்று 00070012000ய்0138 0056 12 00847த்து 951 01161012 0049 00912012001 ரூ. 6 00773யே 96 00731த்து 30 00847 2009-2010 00033ம் 001040010132 போனஸ்0154 00129 00007்பட027 0156 00462 00029 001780210080 ."
510,"00146 00339 ஒபாமா மும்பை 0049 தில்லி001 00382 00403 00074ரவிருப்பத்0112 00178த்த 00692 00693 , 00574006 00660 01293 00431 01294யப் 00007வ்0101 0128 00284ிய்0080 ."
511,00182 00660த்த007 0125 ஒபாமா 01295ு001 00318லும் 00036 00661 00031யப்0090 00041்டத் 0110 00284ப்படுவது0025 00692 00693 01276ச் 00445 ராபர்ட் கிப்ஸ் 0123 00427012 00164ட்ட017034 .
512,00574006 01296 00431 01028 00031யப் 00007வ்0101 0124 00178021029 .
513,00182 00085்ட 00159 000150120010155 ஒபாமாவ007 01297 01293 00382 00210 01028 00031யப்0090 00041ம் 00287ற029 00574 .
514,00182வ008 01302 01092 005390154 00104001 00940 2 00731 00545 00338ப்பத்0154 00711 001620155 லான்செட் 00165ிய 00052008 012980190080 .
515,00142 00148 00070 00182வ008 01302 01092005 00104001 15 00847 00545 00338ப்பத்0154 00178021 00126019006 .
516,00042 லான்செட் 00162 00104001 80 00847 01299012 0093 2 00731 00545 00338ப்பத்0112 001780210080 .
517,90 00400 01300012 01260ப் 00072012008 00017035017 .
518,0129 00986ான 00711 01301ய்0138 00288க்காதத005 86 00400 01300012 00114்ட0080144 00664வத்0154 லான்செட் 00178014006 .
519,2002 0091 6 00847த்து 671 00072012008 0131 00052 00165ப்00880080 .
520,01302வு001 ஒரிசாவ008 0130 0117 00092ிலான 01300012 00017035017 .
521,00573 00891 00104001 50 00847 00545 00338க்035ன034 .
522,"01106ற்கு 01303 சத்தீஸ்கர் , ஜார்கண்ட் , அசாம் 00086ங்012008 0117 01300012 00017வத்0154 லான்செட் 00052 00030008 00178க்கப்00880080 ."
523,01304வ008 எச்சிஎல் ( HCள் ) 00835த்த008 00303ி 00074ந்த 35 01285 சாஃப்ட்வேர் எஞினியர் 00435 00012 00699 01305்டு 01306 00031006 00021ண்டத்0154 00667 00178த்த017034 .
524,ஹ000தராபாத000ச் 0056 எஞினியர் ரத்தன்குமார் 01304வ008 00209 5 00403ங்கள்0154 01002006 00074019029 .
525,01307 00192த்த008 0037 00320ய008 00114்டு001 00074ந்த 00574 01308 0152 01309ய008 00756ங்012008 00259 000740190040 .
526,00295 001170010136 00318ன்று 01305்டு 01306 00031006 00021ண்டத்0154 01310 00122 பிரதாப் சிங் 00178021029 .
527,00574 01306 00031006 00021ண்ட 0125 00114்ட008 யாரும் 00126க்கவ்0101 .
528,"00574006 00230 , 00574கள006 013110107 01312 00114்டிற்001 00318ன்ற் 00126019029 ."
529,01306 00031006 00021ண்டதற்0250155 00539 எதுவும் 00574 01313க்கவ்0101 .
530,00063 00425006 00018014032 0156 பிரதாப் சிங் 00178021029 .
531,"01314 - 00230 0153 00474ந்து 00073019032 0103 00284ி , 01315 01316 01056ி 00538 01317க்க 00510ய028006 0103 00541 00542 00619 01055021006 ."
532,"தமிழ்நாட்ட007 கோயமுத்தூர000ச் 0056 டி. 01318 00287033050் டி. வேலுசாமி 00287033050்0107 01314 - 00230 0153 00073ந்தத்01270138 , வேலுசாமி 00407 தன்ன000ப் 00762ப்பத005 தன001 01319 01316 00610ம் 0142 00574ு001 00662 00060ம் 01050138 00538 01317021029 ."
533,"00541 00542 01320012 01321 கட்ஜு , டி.எஸ். தாக்கூர் 01322ிய 00532 01054வ000 00425021006 ."
534,00114்டு0010136 00857க்கும் 013230120008 00500012000 011060080138 01208 00114்டு 00855 00031யும் 00500012000ப் 00066க்கும் 2005-வது 00053த்த007 00055ய008 01318 00538 013170210006 .
535,01318 தன001 00230 00943ல 01050138 லட்சுமி 00287033050்0160 தன்னுடைய 00230 01050138 00137 01324ிய வேலுசாமி 01325007029 .
536,"00210 01062012008 00474ந்து 00073வத்0158 , 00210த்து001 00084 00172 00084ே 00114்ட008 01326ப்பத்0158 , 01314 - 00230001 00410155 01327 00525001 01328க் 0017301260015 0103 00284ிய 01320012 , 01314 0003 01316 01056ம் 01329 4 00152ங்012000ப் 01330 00031021050்0120154 00126க்க 00060ம் 00287ற017034 ."
537,1. 00084 013310138 00500ண்0138 01074த் 01332012 0103 01206 00208ற்க 00060ம் .
538,2. 006750138 01333 01285000 01334க்க 00060ம் .
539,3. 006750138 01333 00031006 00021வதற்025 00208ற்ற 008180120107 00126க்க 00060ம் .
540,4. 00675ும் 01335்0220160 00343 00253 00892ாகத் 01326க்க 00060ம் ; .
541,"அதன் 0097 00574கள000 01314 , 013290154 01206 01336க்க 00060ம் ."
542,0131 நால்0138 00100ல028மல் 00084 01337ின் 00569000 00208ற்று 005740107 00283ி 00073019032 0103 00284வத000ய்0051 00208ற்று 00574012001 01316 00610 00662 00510ய028006 0103 01320012 01338த் 00178த்த017034 .
543,0131 00538008 வேலுசாமி 00284014ார் 0153 00574ு001 லட்சுமி 0114 00292 00230 00126019029 0159 01050138 00425க்கும் 0142 01320012 00662்ட017034 .
544,00182 011940210115 01214 01339்டு 01340 00026 00092008 01194க்கப்00880115 013410120008 01342 01343்0220080 .
545,0131 01344012000 00182 00804 00503 00031ய 00060ம் 0103 01345 00525 01088 0046 00014ய008 00185ப்00880080 .
546,01211 00130 00002ங்012001த் 00958ய்0155 00598ங்012000 00288க்கும் 00835ங்012 0130 01211 01219012008 00907 00017்ட005 00465ாக 00060ம் .
547,0131 01346 80 00104012001ப் 01347ம் 0103 00182 00204த்த008 00038ப்பட்ட 01339்டு 01340வ008 00185ப்00880080 .
548,00512 00026 01341012000க் 0002 00865 01343்0220080 .
549,00304 00026 01341012 0150 00182 01348 00031ய 00060ம் 0103 0116 00014 001780210080 .
550,00146வ007 00278 00151 01349 01350 நிகோலஸ் பர்ன்ஸ் 0049 00278 01351 01352 ரிச்சர் ஆர்மிடேஜ் 0049 00713 ரிச்சர்ட் ஃபோன்டெய்ன் 00047 00474ந்து 01220த்த 00014ய008 00305இத்தகவல் 00155ிய்0080 .
551,"இந்தியா-அமெரிக்கா 00410155 01214 01166 00260138 , 0131 01166த்த005 00126 00015012 00410155 00525 0129 00092001 01353ம் 0065 00260138 00014 012200210047 ."
552,00126 00015012 00410155 01166த்த000 01354 00038028 00041ில் 01257 00126 00015012 00410155 00525 00642யாக 00553க்க 00007்பட027 .
553,"00426 அமெரிக்காவ்0138 , 00182வ்0138 01211 01212 01166த்த008 00026 00092008 01194க்கப்00880115 01355012000 01354 01356 00060ம் 01050138 00014ய008 00185ப்00880080 ."
554,"00396த்தில் 00182 00204த்த008 00038ப்பட்ட 01211 00907 01339்டு 01340 , 00026 01357த்த்0008 01358 01343014006 ."
555,"01211 01219012001 01359 01360ங்012000 சப்ளை 00031யும் 00835ங்012 0130 00907 00017்ட005 00463ற்க 00060ம் 01050138 , 00512 80 00104012001ப் 01347ம் 01050138 001780210080 ."
556,00512 00146 00835ங்012000 01178 01361ிய்0080 .
557,00304 0066 00530ய000த் 01061க்க 00182 00804 00222 00006க்க 00060ம் .
558,"00512000 00038028 00041்ட005 00126 00015012 0100 00460ளப்பட்ட 0147 00022ான 01166 00373028மல் 00399வத்0149 , 00151 00978ய008 00126 00015012 0100 00526 00527 00017வதற்க்0155 00518 00010ள006 01050138 00014ய008 00178க்கப்00880080 ."
559,01211 00907 01339 01340வ008 01348ங்012 00031006 01362ிய 00174 01211 01363 01364 01346012000ய்0138 00182 00038ின005 01106 00182வு001 00563்று 00978ய008 0104 00858 00511யாக 00126025027 01050138 00185ப்00880080 .
560,"00146வ007 00278 00339 ஜார்ஜ் புஷ் 00199ய008 0147 01365012008 004350155 நிகோலஸ் பர்ன்ஸ் , 00126 00015012 00410155 01211 01212 01166 01213வத008 01178 01366 00294007029 ."
561,"00182 00021ண்டு 000740190115 01211 00907 01339்டு 01340வால் , 00126 00015012 00410155 01214 01166 00038வத008 01367ான 00112 00037ிய்0080 01050138 00574 00185்0220040 ."
562,01345 01214 00374 01368ச் 00885 01369017்ற006 .
563,00512000 00038வத008 00182வு0010138 00343 01370ங்012 00010ளன 00280138 0055401900830154 00574 00185022029 .
564,"01214 01166த்த000 00814ம் 0125 , 00025ாக 01214 01340வ000 00021ண்டு 013710146 ."
565,00584 01372 00341008 00560ம் 00275012000 00834 00060ம் .
566,01373 00011ான 01374 00652ங்012000 00228ி021 01061006க் 00021ளல்0146 01050138 பர்ன்ஸ் 00185்0220040 .
